iter	Passed	Remaining
0	1	194
1	3	153
2	4	139
3	5	131
4	6	127
5	7	123
6	9	121
7	10	118
8	11	116
9	12	113
10	13	112
11	15	111
12	16	109
13	17	107
14	18	105
15	19	103
16	20	102
17	22	101
18	23	99
19	24	98
20	25	96
21	26	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	34	87
28	35	86
29	36	85
30	37	83
31	38	82
32	40	81
33	41	79
34	42	78
35	43	77
36	44	75
37	45	74
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	118	0
